Metric,Dummy Baseline Test Error,Linear Regression Test Error,Absolute Error Reduction,Percentage Error Reduction
MAE,0.7278226238025776,0.5707408416338806,0.15708178216869695,21.582426408787413
RMSE,0.9397375154091072,0.750716202249207,0.18902131315990023,20.114267022489926
