Year Published,Min Players,Min Age,Complexity Average,Max Players Log,Play Time Log,Year Published Missing,Min Players Missing,Max Players Missing,Play Time Missing,Min Age Missing,Complexity Average Missing,Mechanic: Dice Rolling,Mechanic: Hand Management,Mechanic: Set Collection,Mechanic: Variable Player Powers,Mechanic: Hexagon Grid,Mechanic: Simulation,Mechanic: Card Drafting,Mechanic: Tile Placement,Mechanic: Modular Board,Mechanic: Area Majority / Influence,Mechanic: Grid Movement,Mechanic: Cooperative Game,Mechanic: Roll / Spin and Move,Mechanic: Area Movement,Mechanic: Simultaneous Action Selection,Domain: Wargames,Domain: Strategy Games,Domain: Family Games,Domain: Thematic Games,Domain: Abstract Games,Domain: Children's Games,Domain: Party Games,Domain: Customizable Games
2017.0,2.0,8.0,1.06,1.9459101490553132,3.044522437723423,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2017.0,4.0,8.0,1.0,2.302585092994046,1.791759469228055,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2008.0,2.0,5.0,1.24,1.6094379124341003,2.772588722239781,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2017.0,1.0,12.0,4.18,1.6094379124341003,5.8888779583328805,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
2016.0,2.0,8.0,1.44,1.6094379124341003,3.4339872044851463,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1984.0,2.0,12.0,4.29,1.0986122886681098,8.699681400989514,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2006.0,2.0,12.0,2.54,1.6094379124341003,4.110873864173311,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2015.0,2.0,10.0,2.14,1.6094379124341003,3.4339872044851463,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2014.0,2.0,14.0,1.5,2.0794415416798357,3.4339872044851463,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016.0,2.0,10.0,3.0,1.0986122886681098,3.828641396489095,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2006.0,2.0,9.0,1.5,1.9459101490553132,3.828641396489095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2007.0,2.0,12.0,2.22,1.791759469228055,4.110873864173311,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2013.0,2.0,10.0,2.0,1.6094379124341003,3.828641396489095,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005.0,2.0,9.0,1.75,1.0986122886681098,3.044522437723423,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995.0,2.0,12.0,3.41,1.0986122886681098,6.734591659972948,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1995.0,1.0,12.0,2.69,1.6094379124341003,4.795790545596741,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1999.0,2.0,18.0,1.37,1.6094379124341003,4.110873864173311,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004.0,2.0,12.0,3.38,1.6094379124341003,4.51085950651685,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1998.0,4.0,10.0,2.08,2.1972245773362196,5.484796933490655,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2001.0,2.0,8.0,1.86,1.0986122886681098,3.044522437723423,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2004.0,3.0,10.0,2.62,1.6094379124341003,4.110873864173311,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
