Model,Dataset,MAE,RMSE,R2
Dummy Baseline,Train,0.7322148819090196,0.9349506830454742,0.0
Dummy Baseline,Test,0.7278226238025776,0.9397375154091072,-1.189410751889497e-06
Linear Regression,Train,0.5784354054738692,0.7548808071189349,0.34810243229366933
Linear Regression,Test,0.5707408416338806,0.750716202249207,0.3618262076147285
